cluster,authors,year,title,venue,doi_or_url,access_tag,ip_use_tag,relevance_one_liner
1-Reviews,Wang et al.,2024,A comparative review of multi-axis 3D printing,Journal of Manufacturing Processes,https://www.sciencedirect.com/science/article/abs/pii/S1526612524004432,Paywalled,Reference-only,Unified workflow review of multi-axis 3D printing across slicing/path planning/architecture
1-Reviews,(Anonymous AM review),2024,A review of multi-axis additive manufacturing: Potential opportunity and challenge,Additive Manufacturing,https://www.sciencedirect.com/science/article/abs/pii/S2214860424001210,Paywalled,Reference-only,Covers curved layers / support-free / load-path / large-scale multi-axis machines
1-Reviews,Rajan et al.,2025,A comprehensive analysis of non-planar toolpath optimization in multi-axis 3D printing,Review of Applied Science and Technology,https://rast-journal.org/index.php/RAST/article/view/22,OA,Cite-and-paraphrase,Recent OA survey of curved-layer slicing strategies
1-Reviews,Sun et al.,2022,Path feedrate and trajectory planning for free-form surface machining: SOTA review,Chinese Journal of Aeronautics 35(8),https://doi.org/10.1016/j.cja.2022.02.014,OA,Cite-and-paraphrase,Modern machining counterpart to AM reviews
1-Reviews,Lasemi et al.,2010,Recent development in CNC machining of freeform surfaces: SOTA review,Computer-Aided Design,https://www.sciencedirect.com/science/article/abs/pii/S0010448510000539,Paywalled,Reference-only,Foundational machining review (must-read background)
1-Reviews,(Vector-field machining),2025,A Review of Vector Field-Based Tool Path Planning for CNC Machining,Symmetry 17(8),https://www.mdpi.com/2073-8994/17/8/1300,OA,Cite-and-paraphrase,Recent vector-field methods survey for 5-axis CNC
1-Reviews,Nguyen et al.,2021,A Review of Path Planning for Wire Arc Additive Manufacturing,J Adv Manuf Sys,https://www.worldscientific.com/doi/10.1142/S0219686721500293,Paywalled,Reference-only,WAAM-specific path planning review
1-Reviews,(Hybrid review),2018,Hybrid additive and subtractive manufacturing processes and systems: a review,Journal of Machine Engineering,https://www.researchgate.net/publication/329421387,Author-PDF,Reference-only,Foundational review of hybrid AM+SM (5-axis hybrid platforms)
1-Reviews,(Hybrid review),2025,A Review of Hybrid Manufacturing: Integrating Subtractive and Additive Manufacturing,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12471480/,OA,Cite-and-paraphrase,Recent OA review of hybrid manufacturing systems
2-Foundational,Dai et al.,2018,Support-Free Volume Printing by Multi-Axis Motion,ACM TOG (SIGGRAPH 2018) 37(4),https://doi.org/10.1145/3197517.3201342,Author-PDF,Algorithm-reusable,ANCHOR PAPER: scalar-field decomposition for support-free curved layers
2-Foundational,Zhang et al.,2022,S^3-Slicer: A General Slicing Framework for Multi-Axis 3D Printing,ACM TOG (SIGGRAPH Asia 2022) 41(6),https://doi.org/10.1145/3550454.3555516,Author-PDF,Algorithm-reusable,Best Paper SIGGRAPH Asia 2022; current SOTA general multi-axis slicer
2-Foundational,Fang et al.,2020,Reinforced FDM: Multi-axis filament alignment with controlled anisotropic strength,ACM TOG (SIGGRAPH Asia 2020) 39(6),https://doi.org/10.1145/3414685.3417834,Author-PDF,Algorithm-reusable,Multi-axis layer/path generation aligned with principal stress
2-Foundational,Etienne et al.,2019,CurviSlicer: Slightly curved slicing for 3-axis printers,ACM TOG (SIGGRAPH 2019) 38(4),https://doi.org/10.1145/3306346.3323022,Author-PDF,Algorithm-reusable,Deformation-based curved slicing for 3-axis; OSS code
2-Foundational,Wu et al.,2017,RoboFDM: A robotic system for support-free fabrication using FDM,IEEE ICRA,https://ieeexplore.ieee.org/document/7989143,Paywalled,Reference-only,Predecessor to Dai 2018 using beam-search clipping plane decomposition
2-Foundational,Wu et al.,2020,General Support-Effective Decomposition for Multi-Directional 3-D Printing,IEEE T-ASE 17(2),,Paywalled,Reference-only,Generalization of RoboFDM
2-Foundational,Zhang et al.,2023,Support generation for robot-assisted 3D printing with curved layers,IEEE ICRA 2023,,Paywalled,Reference-only,Support generation when build layers themselves are curved (S^3-Slicer companion)
2-Foundational,Yi et al.,2024,Neural Slicer for Multi-Axis 3D Printing,ACM TOG,https://doi.org/10.1145/3658212,Preprint,Algorithm-reusable,Neural-network differentiable slicer; arXiv 2404.15061
2-Foundational,Xu/Chen/Tang,2019,Curved layer based process planning for multi-axis volume printing of freeform parts,Computer-Aided Design 114,https://doi.org/10.1016/j.cad.2019.05.007,Paywalled,Reference-only,Alternative algorithmic lineage for curved-layer process planning
2-Foundational,Liu et al.,2024,Spherical path planning for multi-axis support-free AM of truss structures,Additive Manufacturing,https://www.sciencedirect.com/science/article/abs/pii/S152661252301112X,Paywalled,Reference-only,Spherical-slicing approach for trusses/lattices
2-Foundational,Li et al.,2025,Geodesic Distance Field-based Curved Layer Volume Decomposition,Semantic Scholar entry,https://www.semanticscholar.org/paper/46d2374dff6db86ba31403b55e82c3c4ebbe8385,Paywalled,Reference-only,Iso-geodesic distance surfaces as printing layers
2-Foundational,Wang et al.,2019,5-axis dynamic slice non-supporting 3D printing,Robotics and CIM 57,,Paywalled,Reference-only,Practical 5-axis dynamic slicing
2-Foundational,Coupek et al.,2018,Reduction of support structures and building time by optimized path planning algorithms in multi-axis AM,Procedia CIRP,,OA,Cite-and-paraphrase,Industry-leaning support reduction work
2-Foundational,Murtezaoglu et al.,2018,Five-axis additive manufacturing of freeform models through buildup of transition layers,J Manuf Sys,https://www.sciencedirect.com/science/article/abs/pii/S0278612518301419,Paywalled,Reference-only,Designs 5-axis FDM machine; uses transition layers
2-Foundational,Ahlers et al.,2019,3D Printing of Nonplanar Layers for Smooth Surface Generation,IEEE CASE 2019,https://tams.informatik.uni-hamburg.de/publications/2019/case_ahlers_2019.pdf,Author-PDF,Algorithm-reusable,Open-source non-planar extension to Slic3r for 3-axis with collision-free toolpath
2-Foundational,Liu et al.,2026,Multi-Axis Additive Manufacturing for Customized Automotive Components,arXiv 2604.12236,https://arxiv.org/html/2604.12236,Preprint,Cite-and-paraphrase,Multi-axis curved slicing extended to DLP/SLA with per-pixel cure-map
